Date,Price,Open,High,Low,Vol.,
08/30/2021,130.03,130.5,130.97,128.62,69.01K,
08/27/2021,130.97,134.27,135.21,130.5,151.53K,
08/26/2021,134.27,127.2,137.33,127.2,1.81M,
08/25/2021,127.68,127.2,127.68,126.26,99.69K,
08/24/2021,127.2,128.15,128.15,125.32,128.38K,
08/23/2021,128.15,125.32,128.38,125.08,1.63M,
08/20/2021,124.85,125.08,125.08,124.38,63.28K,
08/19/2021,124.85,124.38,124.85,123.44,374.65K,
08/18/2021,124.38,122.49,125.32,122.49,66.70K,
08/17/2021,123.44,122.49,124.38,122.49,80.11K,
08/16/2021,123.91,123.67,124.38,123.44,27.07K,
08/13/2021,122.96,123.91,124.38,122.49,14.75K,
08/12/2021,123.67,123.2,123.67,122.49,718.78K,
08/11/2021,122.73,122.49,123.44,122.49,134.60K,
08/10/2021,123.44,123.2,123.67,122.49,436.82K,
08/09/2021,122.49,121.55,123.2,121.55,326.01K,
08/06/2021,122.26,120.14,122.49,118.96,271.92K,
08/05/2021,120.14,119.9,121.32,118.72,436.35K,
08/04/2021,120.37,121.55,121.55,120.14,33.25K,
08/03/2021,120.61,120.84,121.55,120.37,1.36M,
08/02/2021,121.32,122.49,122.49,120.61,116.41K,
07/30/2021,122.26,122.26,122.49,121.55,41.03K,
07/29/2021,122.26,122.26,122.26,121.55,17.23K,
07/28/2021,122.26,122.49,122.49,121.79,29.62K,
07/27/2021,122.49,122.02,122.49,121.55,34.45K,
07/26/2021,122.02,122.02,123.2,120.61,124.43K,
07/22/2021,122.26,123.44,123.44,121.79,91.49K,
07/20/2021,123.44,123.67,124.85,121.79,89.52K,
07/19/2021,123.44,124.85,124.85,123.44,181.76K,
07/16/2021,126.03,125.32,126.26,125.32,43.95K,
07/15/2021,124.85,125.79,126.03,124.85,47.71K,
07/14/2021,126.26,125.79,126.26,124.61,28.47K,
07/13/2021,125.79,123.44,125.79,123.44,73.61K,
07/12/2021,125.32,124.14,125.79,123.91,265.41K,
07/09/2021,124.38,123.44,125.08,123.44,46.06K,
07/08/2021,123.44,123.44,124.38,122.49,2.84M,
07/07/2021,123.44,125.32,125.32,122.49,66.65K,
07/06/2021,123.44,123.44,124.38,122.73,26.84K,
07/05/2021,123.44,123.91,124.14,123.2,172.93K,
07/02/2021,124.14,125.79,125.79,123.2,233.85K,
07/01/2021,125.32,126.26,126.26,124.85,81.91K,
06/30/2021,126.26,126.26,127.2,125.32,637.42K,
06/29/2021,127.68,129.32,129.56,126.73,83.44K,
06/28/2021,129.09,128.15,129.56,128.15,194.04K,
06/25/2021,128.62,127.2,128.62,127.2,165.21K,
06/23/2021,126.73,126.73,127.91,125.32,107.51K,
06/22/2021,127.2,129.09,129.09,127.2,155.79K,
06/21/2021,129.56,129.8,130.03,128.15,706.24K,
06/18/2021,129.8,129.8,130.03,129.09,123.02K,
06/17/2021,129.09,130.03,130.97,129.09,186.01K,
06/16/2021,129.09,127.68,129.8,127.68,3.00M,
06/15/2021,127.2,128.62,128.62,127.2,103.76K,
06/14/2021,127.91,127.68,128.85,126.26,69.97K,
06/11/2021,127.68,127.91,129.56,127.44,400.83K,
06/10/2021,127.68,127.2,129.56,126.73,175.43K,
06/09/2021,126.73,127.2,127.2,126.73,45.48K,
06/08/2021,126.97,128.15,128.15,126.26,82.99K,
06/07/2021,127.44,128.85,128.85,126.73,18.05K,
06/04/2021,128.38,127.2,128.62,127.2,468.16K,
06/03/2021,127.2,126.26,127.68,124.38,513.65K,
06/02/2021,126.03,124.38,127.2,124.38,239.88K,
06/01/2021,124.85,122.49,125.08,122.49,345.11K,
05/31/2021,122.02,121.55,122.49,121.32,142.58K,
05/28/2021,121.55,121.55,122.49,121.55,555.12K,
05/25/2021,121.79,120.61,122.49,120.61,87.98K,
05/24/2021,121.32,122.26,122.26,120.14,9.04K,
05/21/2021,122.02,122.26,122.26,120.37,56.60K,
05/20/2021,122.02,121.32,122.26,121.32,26.55K,
05/19/2021,122.26,121.55,122.26,121.08,6.18K,
05/18/2021,122.02,122.02,122.02,120.84,8.35K,
05/17/2021,122.02,120.61,122.02,119.67,140.29K,
05/13/2021,120.37,119.9,120.61,119.9,95.96K,
05/12/2021,120.37,120.61,120.84,119.9,71.02K,
05/11/2021,120.61,120.61,121.32,119.67,5.27K,
05/10/2021,121.08,122.02,122.26,120.61,64.11K,
05/07/2021,122.26,122.02,122.49,121.55,53.71K,
05/06/2021,122.02,122.26,122.26,121.55,113.81K,
05/05/2021,122.02,121.08,122.49,121.08,42.88K,
05/04/2021,120.14,123.2,123.2,120.14,9.00M,
05/03/2021,122.02,120.61,122.96,118.25,199.88K,
04/30/2021,120.61,122.49,122.49,120.61,27.87K,
04/29/2021,122.49,122.49,123.2,118.72,7.22M,
04/28/2021,120.61,119.67,120.61,118.96,29.94K,
04/27/2021,119.67,121.55,121.55,117.78,182.86K,
04/23/2021,122.49,120.61,122.73,120.14,1.41M,
04/22/2021,122.73,123.44,123.44,122.02,56.04K,
04/21/2021,124.61,123.44,124.61,121.55,2.96M,
04/20/2021,123.91,124.38,124.85,123.67,489.79K,
04/19/2021,124.38,125.79,125.79,124.38,38.10K,
04/16/2021,125.32,124.61,125.79,124.38,840.08K,
04/15/2021,124.61,125.32,125.32,124.38,620.08K,
04/12/2021,125.32,124.85,125.79,124.38,444.09K,
04/09/2021,124.85,124.85,126.03,123.44,430.30K,
04/08/2021,124.85,122.49,126.26,122.49,604.43K,
04/07/2021,122.96,118.72,124.38,117.78,1.37M,
04/06/2021,118.72,117.78,119.67,115.9,80.46K,
04/05/2021,116.6,118.72,118.72,115.9,379.02K,
04/01/2021,119.2,118.96,119.43,117.55,185.21K,
03/31/2021,118.72,120.37,120.61,118.25,38.00K,
03/30/2021,121.03,120.34,122.18,118.97,565.37K,
03/29/2021,119.43,121.03,121.03,118.28,316.92K,
03/26/2021,120.8,119.43,121.26,118.74,27.44K,
03/25/2021,119.43,121.26,121.26,118.51,42.21K,
03/24/2021,119.43,116.67,119.43,116.67,72.96K,
03/23/2021,117.13,119.43,119.43,116.9,39.05K,
03/22/2021,117.59,117.59,119.43,116.21,56.59K,
03/19/2021,117.59,116.44,118.51,115.29,181.89K,
03/18/2021,116.67,117.59,117.59,115.75,36.98K,
03/17/2021,117.59,119.43,119.43,117.13,355.34K,
03/16/2021,118.28,119.88,121.26,118.28,28.97K,
